availability_id,doctor_id,available_start,available_end,is_bookable
1,1,2025-06-02T23:55:00,2025-06-03T01:25:00,True
2,1,2025-06-01T17:50:08,2025-06-01T19:20:08,True
3,1,2025-06-12T05:45:23,2025-06-12T06:45:23,True
4,1,2025-05-29T07:49:12,2025-05-29T08:19:12,True
5,1,2025-05-25T04:57:12,2025-05-25T06:27:12,False
6,2,2025-06-08T21:45:48,2025-06-08T23:15:48,True
7,2,2025-06-01T14:52:45,2025-06-01T16:22:45,True
8,2,2025-05-29T20:09:44,2025-05-29T21:09:44,True
9,2,2025-05-28T14:37:27,2025-05-28T15:37:27,True
10,2,2025-05-22T21:19:59,2025-05-22T21:49:59,False
11,3,2025-06-06T12:46:01,2025-06-06T14:16:01,True
12,3,2025-05-30T13:50:55,2025-05-30T15:20:55,True
13,3,2025-06-09T14:05:34,2025-06-09T14:35:34,True
14,3,2025-05-27T10:38:00,2025-05-27T12:08:00,True
15,3,2025-06-08T20:03:03,2025-06-08T21:03:03,True
16,4,2025-06-05T17:31:52,2025-06-05T18:01:52,True
17,4,2025-06-12T04:49:41,2025-06-12T05:19:41,False
18,4,2025-05-24T03:03:37,2025-05-24T03:33:37,True
19,4,2025-05-29T06:50:23,2025-05-29T08:20:23,False
20,4,2025-06-02T22:23:01,2025-06-02T23:23:01,True
21,5,2025-05-27T15:49:49,2025-05-27T16:49:49,False
22,5,2025-05-17T02:29:14,2025-05-17T02:59:14,False
23,5,2025-05-21T23:03:10,2025-05-22T00:03:10,False
24,5,2025-05-19T22:23:52,2025-05-19T23:23:52,True
25,5,2025-06-01T22:01:33,2025-06-01T22:31:33,True
26,6,2025-06-01T11:47:12,2025-06-01T12:47:12,True
27,6,2025-05-25T08:51:56,2025-05-25T09:21:56,True
28,6,2025-05-28T15:23:09,2025-05-28T15:53:09,True
29,6,2025-06-10T17:39:42,2025-06-10T19:09:42,True
30,6,2025-06-12T09:34:18,2025-06-12T10:34:18,True
